word,isNew,iteration,endLine
I,0,0,0
should,0,0,0
not,0,0,0
sit,0,0,0
on,0,0,0
this,0,0,0
couch,0,0,0
and,0,0,0
watch,0,0,0
Netflix,0,0,1
I,0,0,0
should,0,0,0
take,0,0,0
pouty,0,0,0
mouth,0,0,0
pics,0,0,0
for,0,0,0
my,0,0,0
press,0,0,0
kit,0,0,1
I,0,0,0
should,0,0,0
defy,0,0,0
the,0,0,0
rules,0,0,0
of,0,0,0
logic,0,0,1
I,0,0,0
should,0,0,0
invent,0,0,0
some,0,0,0
quirky,0,0,0
new,0,0,0
merchandise,0,0,0
product,0,0,1
I,0,0,0
just,0,0,0
want,0,0,0
to,0,0,0
rap,0,0,0
good,0,0,0
and,0,0,0
not,0,0,0
sell,0,0,0
bread,0,0,0
sticks,0,0,1
I,0,0,0
will,0,0,0
not,0,0,0
become,0,0,0
a,0,0,0
martyr,0,0,0
for,0,0,0
the,0,0,0
deadbeats,0,0,1
I,0,0,0
will,0,0,0
shave,0,0,0
my,0,0,0
beard,0,0,0
off,0,0,0
by,0,0,0
the,0,0,0
end,0,0,0
of,0,0,0
this,0,0,0
week,0,0,1
I,0,0,0
will,0,0,0
go,0,0,0
out,0,0,0
and,0,0,0
learn,0,0,0
to,0,0,0
socialize,0,0,1
and,0,0,0
figure,0,0,0
out,0,0,0
why,0,0,0
all,0,0,0
my,0,0,0
ex-girlfriends,0,0,0
hate,0,0,0
me,0,0,1
I'm,0,0,0
going,0,0,0
to,0,0,0
put,0,0,0
this,0,0,0
big,0,0,0
brain,0,0,0
to,0,0,0
good,0,0,0
use,0,0,1
I'm,0,0,0
going,0,0,0
to,0,0,0
write,0,0,0
rap,0,0,0
songs,0,0,0
to,0,0,0
find,0,0,0
objective,0,0,0
truths,0,0,1
I'm,0,0,0
going,0,0,0
to,0,0,0
be,0,0,0
better,0,0,0
than,0,0,0
my,0,0,0
father,0,0,1
I'm,0,0,0
going,0,0,0
to,0,0,0
upload,0,0,0
well,0,0,0
edited,0,0,0
pictures,0,0,0
to,0,0,0
Flickr,0,0,1
I'm,0,0,0
going,0,0,0
to,0,0,0
eat,0,0,0
a,0,0,0
lot,0,0,0
more,0,0,0
Fig,0,0,0
Newtons,0,0,1
and,0,0,0
sign,0,0,0
petitions,0,0,0
by,0,0,0
women's,0,0,0
rights,0,0,0
movements,0,0,1
I,0,0,0
wish,0,0,0
I'd,0,0,0
met,0,0,0
you,0,0,0
on,0,0,0
Legends,0,0,0
of,0,0,0
the,0,0,0
Hidden,0,0,0
Temple,0,0,1
I,0,0,0
wish,0,0,0
Hegel,0,0,0
wasn't,0,0,0
so,0,0,0
incomprehensible,0,0,1
I,0,0,0
wish,0,0,0
I,0,0,0
was,0,0,0
more,0,0,0
like,0,0,0
the,0,0,0
Übermensch,0,0,1
I,0,0,0
wish,0,0,0
my,0,0,0
fears,0,0,0
didn't,0,0,0
have,0,0,0
such,0,0,0
a,0,0,0
putrid,0,0,0
stench,0,0,1
I,0,0,0
think,0,0,0
my,0,0,0
muscles,0,0,0
should,0,0,0
be,0,0,0
bigger,0,0,1
I,0,0,0
don't,0,0,0
know,0,0,0
much,0,0,0
about,0,0,0
Being,0,0,0
and,0,0,0
Nothingness,0,0,1
But,0,0,0
I,0,0,0
might,0,0,0
just,0,0,0
be,0,0,0
a,0,0,0
