word,isNew,iteration,endLine
As,0,0,0
the,0,0,0
plot,0,0,0
"thickens,",0,0,0
it,0,0,0
gives,0,0,0
me,0,0,0
the,0,0,0
dickens,0,0,1
Reminiscent,0,0,0
of,0,0,0
"Charles,",0,0,0
a,0,0,0
lil',0,0,0
discotheque,0,0,1
Nestled,0,0,0
in,0,0,0
the,0,0,0
ghettos,0,0,0
of,0,0,0
"Niggaville,",0,0,0
USA,0,0,1
Via,0,0,0
"Atlanta,",0,0,0
Georgia,0,0,0
a,0,0,0
lil',0,0,0
spot,0,0,0
where,0,0,1
Young,0,0,0
men,0,0,0
and,0,0,0
young,0,0,0
women,0,0,0
go,0,0,0
to,0,0,0
experience,0,0,1
They,0,0,0
first,0,0,0
li'l,0,0,0
taste,0,0,0
of,0,0,0
the,0,0,0
night,0,0,0
life,0,0,1
Me?,0,0,0
"Well,",0,0,0
I've,0,0,0
never,0,0,0
been,0,0,0
there—well,0,0,0
perhaps,0,0,0
once,0,0,1
But,0,0,0
I,0,0,0
was,0,0,0
so,0,0,0
engulfed,0,0,0
in,0,0,0
the,0,0,0
Olde,0,0,0
E,0,0,1
I,0,0,0
never,0,0,0
made,0,0,0
it,0,0,0
to,0,0,0
the,0,0,0
"door,",0,0,0
you,0,0,0
speak,0,0,0
of,0,0,0
hardcore,0,0,1
While,0,0,0
the,0,0,0
DJ,0,0,0
sweatin',0,0,0
out,0,0,0
all,0,0,0
the,0,0,0
problems,0,0,1
And,0,0,0
troubles,0,0,0
of,0,0,0
the,0,0,0
day,0,0,1
While,0,0,0
this,0,0,0
fine,0,0,0
bow-legged,0,0,0
girl,0,0,0
fine,0,0,0
as,0,0,0
all,0,0,0
outdoors,0,0,1
Lulls,0,0,0
lukewarm,0,0,0
lullabies,0,0,0
in,0,0,0
your,0,0,0
left,0,0,0
ear,0,0,1
Competing,0,0,0
with,0,0,0
"""Set",0,0,0
it,0,0,0
"Off,""",0,0,0
in,0,0,0
the,0,0,0
right,0,0,1
But,0,0,0
it,0,0,0
all,0,0,0
blends,0,0,0
perfectly,0,0,0
let,0,0,0
the,0,0,0
liquor,0,0,0
tell,0,0,0
it,0,0,1
"""Hey",0,0,0
hey,0,0,0
look,0,0,0
baby,0,0,0
they,0,0,0
playin',0,0,0
our,0,0,0
"song""",0,0,1
And,0,0,0
the,0,0,0
crowd,0,0,0
goes,0,0,0
wild,0,0,0
as,0,0,0
if,0,0,1
Holyfield,0,0,0
has,0,0,0
just,0,0,0
won,0,0,0
the,0,0,0
fight,0,0,1
But,0,0,0
in,0,0,0
actuality,0,0,0
it's,0,0,0
only,0,0,0
about,0,0,0
3,0,0,0
A.M,0,0,1
And,0,0,0
three,0,0,0
niggas,0,0,0
just,0,0,0
don',0,0,0
got,0,0,0
hauled,0,0,1
Off,0,0,0
in,0,0,0
the,0,0,0
ambulance,0,0,0
(sliced,0,0,0
up),0,0,1
Two,0,0,0
niggas,0,0,0
don',0,0,0
start,0,0,0
bustin',0,0,0
(wham,0,0,0
wham),0,0,1
And,0,0,0
one,0,0,0
nigga,0,0,0
don',0,0,0
took,0,0,0
his,0,0,0
shirt,0,0,0
off,0,0,0
talkin',0,0,0
'bout,0,0,1
"""Now",0,0,0
who,0,0,0
else,0,0,0
wanna,0,0,0
fuck,0,0,0
with,0,0,0
Hollywood,0,0,0
"Courts?""",0,0,1
It's,0,0,0
just,0,0,0
my,0,0,0
interpretation,0,0,0
of,0,0,0
the,0,0,0
situation,0,0,1
As,0,1,0
the,0,1,0
intrigue,1,1,0
"thickens,",0,1,0
it,0,1,0
gives,0,1,0
me,0,1,0
the,0,1,0
dickens,0,1,1
Reminiscent,0,1,0
of,0,1,0
"Charles,",0,1,0
a,0,1,0
lil',0,1,0
discotheque,0,1,1
Nestled,0,1,0
in,0,1,0
the,0,1,0
ghettos,0,1,0
of,0,1,0
"Niggaville,",0,1,0
USA,0,1,1
Via,0,1,0
"Atlanta,",0,1,0
Georgia,0,1,0
a,0,1,0
lil',0,1,0
spot,0,1,0
where,0,1,1
"girlish,",1,1,0
men,0,1,0
and,0,1,0
immature,1,1,0
women,0,1,0
move,1,1,0
to,0,1,0
undergo,1,1,1
They,0,1,0
chief,1,1,0
li'l,0,1,0
savor,1,1,0
of,0,1,0
the,0,1,0
night,0,1,0
biography,1,1,1
Me?,0,1,0
abundantly,1,1,0
I've,0,1,0
never,0,1,0
been,0,1,0
there—well,0,1,0
by,1,1,0
once,0,1,1
"furthermore,",1,1,0
I,0,1,0
