word,isNew,iteration,endLine
If,0,0,0
you,0,0,0
don't,0,0,0
know,0,0,0
the,0,0,0
kind,0,0,0
of,0,0,0
person,0,0,0
I,0,0,0
am,0,0,1
and,0,0,0
I,0,0,0
don't,0,0,0
know,0,0,0
the,0,0,0
kind,0,0,0
of,0,0,0
person,0,0,0
you,0,0,0
are,0,0,1
a,0,0,0
pattern,0,0,0
that,0,0,0
others,0,0,0
made,0,0,0
may,0,0,0
prevail,0,0,0
in,0,0,0
the,0,0,0
world,0,0,1
and,0,0,0
following,0,0,0
the,0,0,0
wrong,0,0,0
god,0,0,0
home,0,0,0
we,0,0,0
may,0,0,0
miss,0,0,0
our,0,0,0
star.,0,0,1
For,0,0,0
there,0,0,0
is,0,0,0
many,0,0,0
a,0,0,0
small,0,0,0
betrayal,0,0,0
in,0,0,0
the,0,0,0
"mind,",0,0,1
a,0,0,0
shrug,0,0,0
that,0,0,0
lets,0,0,0
the,0,0,0
fragile,0,0,0
sequence,0,0,0
break,0,0,1
sending,0,0,0
with,0,0,0
shouts,0,0,0
the,0,0,0
horrible,0,0,0
errors,0,0,0
of,0,0,0
childhood,0,0,1
storming,0,0,0
out,0,0,0
to,0,0,0
play,0,0,0
through,0,0,0
the,0,0,0
broken,0,0,0
dyke.,0,0,1
And,0,0,0
as,0,0,0
elephants,0,0,0
parade,0,0,0
holding,0,0,0
each,0,0,0
elephant's,0,0,0
"tail,",0,0,1
but,0,0,0
if,0,0,0
one,0,0,0
wanders,0,0,0
the,0,0,0
circus,0,0,0
won't,0,0,0
find,0,0,0
the,0,0,0
"park,",0,0,1
I,0,0,0
call,0,0,0
it,0,0,0
cruel,0,0,0
and,0,0,0
maybe,0,0,0
the,0,0,0
root,0,0,0
of,0,0,0
all,0,0,0
cruelty,0,0,1
to,0,0,0
know,0,0,0
what,0,0,0
occurs,0,0,0
but,0,0,0
not,0,0,0
recognize,0,0,0
the,0,0,0
fact.,0,0,1
And,0,0,0
so,0,0,0
I,0,0,0
appeal,0,0,0
to,0,0,0
a,0,0,0
"voice,",0,0,0
to,0,0,0
something,0,0,0
"shadowy,",0,0,1
a,0,0,0
remote,0,0,0
important,0,0,0
region,0,0,0
in,0,0,0
all,0,0,0
who,0,0,0
talk:,0,0,1
though,0,0,0
we,0,0,0
could,0,0,0
fool,0,0,0
each,0,0,0
"other,",0,0,0
we,0,0,0
should,0,0,0
consider—,0,0,1
lest,0,0,0
the,0,0,0
parade,0,0,0
of,0,0,0
our,0,0,0
mutual,0,0,0
life,0,0,0
get,0,0,0
lost,0,0,0
in,0,0,0
the,0,0,0
dark.,0,0,1
For,0,0,0
it,0,0,0
is,0,0,0
important,0,0,0
that,0,0,0
awake,0,0,0
people,0,0,0
be,0,0,0
"awake,",0,0,1
or,0,0,0
a,0,0,0
breaking,0,0,0
line,0,0,0
may,0,0,0
discourage,0,0,0
them,0,0,0
back,0,0,0
to,0,0,0
sleep;,0,0,1
the,0,0,0
signals,0,0,0
we,0,0,0
give—yes,0,0,0
or,0,0,0
"no,",0,0,0
or,0,0,0
maybe—,0,0,1
should,0,0,0
be,0,0,0
clear:,0,0,0
the,0,0,0
darkness,0,0,0
around,0,0,0
us,0,0,0
is,0,0,0
deep.,0,0,1
If,0,1,0
you,0,1,0
