word,isNew,iteration,endLine
You've,0,0,0
asked,0,0,0
me,0,0,0
what,0,0,0
the,0,0,0
lobster,0,0,0
is,0,0,0
weaving,0,0,0
there,0,0,0
with,0,0,1
his,0,0,0
golden,0,0,0
feet?,0,0,1
I,0,0,0
"reply,",0,0,0
the,0,0,0
ocean,0,0,0
knows,0,0,0
this.,0,0,1
You,0,0,0
"say,",0,0,0
what,0,0,0
is,0,0,0
the,0,0,0
ascidia,0,0,0
waiting,0,0,0
for,0,0,0
in,0,0,0
its,0,0,0
transparent,0,0,1
bell?,0,0,0
What,0,0,0
is,0,0,0
it,0,0,0
waiting,0,0,0
for?,0,0,1
I,0,0,0
tell,0,0,0
you,0,0,0
it,0,0,0
is,0,0,0
waiting,0,0,0
for,0,0,0
"time,",0,0,0
like,0,0,0
you.,0,0,1
You,0,0,0
ask,0,0,0
me,0,0,0
whom,0,0,0
the,0,0,0
Macrocystis,0,0,0
alga,0,0,0
hugs,0,0,0
in,0,0,0
its,0,0,0
arms?,0,0,1
"Study,",0,0,0
study,0,0,0
"it,",0,0,0
at,0,0,0
a,0,0,0
certain,0,0,0
"hour,",0,0,0
in,0,0,0
a,0,0,0
certain,0,0,0
sea,0,0,0
I,0,0,0
know.,0,0,1
You,0,0,0
question,0,0,0
me,0,0,0
about,0,0,0
the,0,0,0
wicked,0,0,0
tusk,0,0,0
of,0,0,0
the,0,0,0
"narwhal,",0,0,1
and,0,0,0
I,0,0,0
reply,0,0,0
by,0,0,0
describing,0,0,1
how,0,0,0
the,0,0,0
sea,0,0,0
unicorn,0,0,0
with,0,0,0
the,0,0,0
harpoon,0,0,0
in,0,0,0
it,0,0,0
dies.,0,0,1
You,0,0,0
enquire,0,0,0
about,0,0,0
the,0,0,0
kingfisher's,0,0,0
"feathers,",0,0,1
which,0,0,0
tremble,0,0,0
in,0,0,0
the,0,0,0
pure,0,0,0
springs,0,0,0
of,0,0,0
the,0,0,0
southern,0,0,0
tides?,0,0,1
Or,0,0,0
you've,0,0,0
found,0,0,0
in,0,0,0
the,0,0,0
cards,0,0,0
a,0,0,0
new,0,0,0
question,0,0,0
touching,0,0,0
on,0,0,1
the,0,0,0
crystal,0,0,0
architecture,0,0,1
of,0,0,0
the,0,0,0
sea,0,0,0
"anemone,",0,0,0
and,0,0,0
you'll,0,0,0
deal,0,0,0
that,0,0,0
to,0,0,0
me,0,0,0
now?,0,0,1
You,0,0,0
want,0,0,0
to,0,0,0
understand,0,0,0
the,0,0,0
electric,0,0,0
nature,0,0,0
of,0,0,0
the,0,0,0
ocean,0,0,1
spines?,0,0,1
The,0,0,0
armored,0,0,0
