word,isNew,iteration,endLine
Villain,0,0,0
man,0,0,0
never,0,0,0
ran,0,0,0
with,0,0,0
krills,0,0,0
in,0,0,0
his,0,0,0
hand,0,0,0
and,0,0,1
Won't,0,0,0
stop,0,0,0
rockin',0,0,0
til,0,0,0
he,0,0,0
clocked,0,0,0
in,0,0,0
a,0,0,0
gazillion,0,0,0
grand,0,0,1
Tillin',0,0,0
the,0,0,0
wasteland,0,0,0
sands,0,0,1
Raps,0,0,0
on,0,0,0
backs,0,0,0
of,0,0,0
treasure,0,0,0
"maps,",0,0,0
stacks,0,0,0
to,0,0,0
the,0,0,0
ceiling,0,0,0
fan,0,0,1
He,0,0,0
rest,0,0,0
when,0,0,0
he's,0,0,0
ashes,0,0,1
Ask,0,0,0
'em,0,0,0
after,0,0,0
ten,0,0,0
miles,0,0,0
in,0,0,0
his,0,0,0
"goulashes,",0,0,0
smashes,0,0,0
stashes,0,0,1
Chip,0,0,0
on,0,0,0
his,0,0,0
shoulder,0,0,0
with,0,0,0
a,0,0,0
slip,0,0,0
on,0,0,0
holster,0,0,1
A,0,0,0
"clip,",0,0,0
a,0,0,0
folder,0,0,0
and,0,0,0
his,0,0,0
grip,0,0,0
on,0,0,0
a,0,0,0
boulder,0,0,0
bolster,0,0,1
They,0,0,0
supposed,0,0,0
ta,0,0,0
"know,",0,0,0
it,0,0,0
show,0,0,0
when,0,0,0
his,0,0,0
aura,0,0,0
glow,0,0,1
Get,0,0,0
from,0,0,0
out,0,0,0
the,0,0,0
"row,",0,0,0
when,0,0,0
he,0,0,0
get,0,0,0
dough,0,0,0
it's,0,0,0
horrible,0,0,1
Time,0,0,0
is,0,0,0
"money,",0,0,0
"spend,",0,0,0
"waste,",0,0,0
"save,",0,0,0
invest,0,0,0
the,0,0,0
fess,0,0,1
From,0,0,0
ten,0,0,0
case,0,0,0
of,0,0,0
cave,0,0,0
of,0,0,0
chicken,0,0,0
chest,0,0,0
S,0,0,1
Yes,0,0,0
ya'll,0,0,0
the,0,0,0
dub,0,0,0
will,0,0,0
get,0,0,0
ya,0,0,0
trickles,0,0,1
The,0,0,0
best,0,0,0
ballers,0,0,0
pitch,0,0,0
in,0,0,0
to,0,0,0
rub,0,0,0
together,0,0,0
nickels,0,0,1
But,0,0,0
tut,0,0,0
"tut,",0,0,0
he,0,0,0
about,0,0,0
to,0,0,0
change,0,0,0
the,0,0,0
price,0,0,0
again,0,0,1
It,0,0,0
go,0,0,0
up,0,0,0
each,0,0,0
time,0,0,0
he,0,0,0
blow,0,0,0
up,0,0,0
like,0,0,0
hydrogen,0,0,1
(Villain!),0,0,0
Villain,0,0,0
"here,",0,0,0
have,0,0,0
em,0,0,0
shrillin',0,0,0
in,0,0,0
fear,0,0,1
And,0,0,0
won't,0,0,0
stop,0,0,0
top,0,0,0
billin',0,0,0
til,0,0,0
he,0,0,0
a,0,0,0
gazillionaire,0,0,1
Grillin',0,0,0
"stare,",0,0,0
yeah,0,0,0
ya,0,0,0
boy,0,0,0
had,0,0,0
drama,0,0,1
Got,0,0,0
em,0,0,0
on,0,0,0
a,0,0,0
mental,0,0,0
"plane,",0,0,0
avoided,0,0,0
bad,0,0,0
karma,0,0,1
Once,0,0,0
sold,0,0,0
an,0,0,0
inbred,0,0,0
skinhead,0,0,0
a,0,0,0
nigga,0,0,0
joke,0,0,1
Plus,0,0,0
a,0,0,0
brand,0,0,0
new,0,0,0
chrome,0,0,0
smoker,0,0,0
with,0,0,0
the,0,0,0
triggers,0,0,0
broke,0,0,1
I,0,0,0
thought,0,0,0
I,0,0,0
told,0,0,0
em,0,0,0
"""Firing",0,0,0
pins,0,0,0
was,0,0,0
"separate""",0,0,1
He,0,0,0
find,0,0,0
out,0,0,0
later,0,0,0
when,0,0,0
he,0,0,0
tries,0,0,0
to,0,0,0
go,0,0,0
and,0,0,0
rep,0,0,0
it,0,0,1
Took,0,0,0
a,0,0,0
Jehovah,0,0,0
money,0,0,0
for,0,0,0
a,0,0,0
