word,isNew,iteration,endLine
To,0,0,0
"be,",0,0,0
or,0,0,0
not,0,0,0
to,0,0,0
be-,0,0,0
that,0,0,0
is,0,0,0
the,0,0,0
question:,0,0,1
Whether,0,0,0
'tis,0,0,0
nobler,0,0,0
in,0,0,0
the,0,0,0
mind,0,0,0
to,0,0,0
suffer,0,0,1
The,0,0,0
slings,0,0,0
and,0,0,0
arrows,0,0,0
of,0,0,0
outrageous,0,0,0
fortune,0,0,1
Or,0,0,0
to,0,0,0
take,0,0,0
arms,0,0,0
against,0,0,0
a,0,0,0
sea,0,0,0
of,0,0,0
"troubles,",0,0,1
And,0,0,0
by,0,0,0
opposing,0,0,0
end,0,0,0
them.,0,0,0
To,0,0,0
die-,0,0,0
to,0,0,0
sleep-,0,0,1
No,0,0,0
more;,0,0,0
and,0,0,0
by,0,0,0
a,0,0,0
sleep,0,0,0
to,0,0,0
say,0,0,0
we,0,0,0
end,0,0,1
The,0,0,0
"heartache,",0,0,0
and,0,0,0
the,0,0,0
thousand,0,0,0
natural,0,0,0
shocks,0,0,1
That,0,0,0
flesh,0,0,0
is,0,0,0
heir,0,0,0
to.,0,0,0
'Tis,0,0,0
a,0,0,0
consummation,0,0,1
Devoutly,0,0,0
to,0,0,0
be,0,0,0
wish'd.,0,0,0
To,0,0,0
die-,0,0,0
to,0,0,0
sleep.,0,0,1
To,0,0,0
sleep-,0,0,0
perchance,0,0,0
to,0,0,0
dream:,0,0,0
"ay,",0,0,0
there's,0,0,0
the,0,0,0
rub!,0,0,1
For,0,0,0
in,0,0,0
that,0,0,0
sleep,0,0,0
of,0,0,0
death,0,0,0
what,0,0,0
dreams,0,0,0
may,0,0,0
come,0,0,1
When,0,0,0
we,0,0,0
have,0,0,0
shuffled,0,0,0
off,0,0,0
this,0,0,0
mortal,0,0,0
"coil,",0,0,1
Must,0,0,0
give,0,0,0
us,0,0,0
pause.,0,0,0
There's,0,0,0
the,0,0,0
respect,0,0,1
That,0,0,0
makes,0,0,0
calamity,0,0,0
of,0,0,0
so,0,0,0
long,0,0,0
life.,0,0,1
For,0,0,0
who,0,0,0
would,0,0,0
bear,0,0,0
the,0,0,0
whips,0,0,0
and,0,0,0
scorns,0,0,0
of,0,0,0
"time,",0,0,1
Th',0,0,0
oppressor's,0,0,0
"wrong,",0,0,0
the,0,0,0
proud,0,0,0
man's,0,0,0
"contumely,",0,0,1
The,0,0,0
pangs,0,0,0
of,0,0,0
despis'd,0,0,0
"love,",0,0,0
the,0,0,0
law's,0,0,0
"delay,",0,0,1
The,0,0,0
insolence,0,0,0
of,0,0,0
"office,",0,0,0
and,0,0,0
the,0,0,0
spurns,0,0,1
That,0,0,0
patient,0,0,0
merit,0,0,0
of,0,0,0
th',0,0,0
unworthy,0,0,0
"takes,",0,0,1
When,0,0,0
he,0,0,0
himself,0,0,0
might,0,0,0
his,0,0,0
quietus,0,0,0
make,0,0,1
With,0,0,0
a,0,0,0
bare,0,0,0
bodkin?,0,0,0
Who,0,0,0
would,0,0,0
these,0,0,0
fardels,0,0,0
"bear,",0,0,1
To,0,0,0
grunt,0,0,0
and,0,0,0
sweat,0,0,0
under,0,0,0
a,0,0,0
weary,0,0,0
"life,",0,0,1
But,0,0,0
that,0,0,0
the,0,0,0
dread,0,0,0
of,0,0,0
something,0,0,0
after,0,0,0
death-,0,0,1
The,0,0,0
undiscover'd,0,0,0
"country,",0,0,0
from,0,0,0
whose,0,0,0
bourn,0,0,1
No,0,0,0
traveller,0,0,0
returns-,0,0,0
puzzles,0,0,0
the,0,0,0
"will,",0,0,1
And,0,0,0
makes,0,0,0
us,0,0,0
rather,0,0,0
bear,0,0,0
those,0,0,0
ills,0,0,0
we,0,0,0
have,0,0,1
Than,0,0,0
fly,0,0,0
to,0,0,0
others,0,0,0
that,0,0,0
we,0,0,0
know,0,0,0
not,0,0,0
of?,0,0,1
Thus,0,0,0
conscience,0,0,0
does,0,0,0
make,0,0,0
cowards,0,0,0
of,0,0,0
us,0,0,0
"all,",0,0,1
And,0,0,0
thus,0,0,0
the,0,0,0
native,0,0,0
hue,0,0,0
of,0,0,0
resolution,0,0,1
Is,0,0,0
sicklied,0,0,0
o'er,0,0,0
with,0,0,0
the,0,0,0
pale,0,0,0
cast,0,0,0
of,0,0,0
"thought,",0,0,1
And,0,0,0
enterprises,0,0,0
of,0,0,0
great,0,0,0
pith,0,0,0
and,0,0,0
moment,0,0,1
With,0,0,0
this,0,0,0
regard,0,0,0
their,0,0,0
currents,0,0,0
turn,0,0,0
awry,0,0,1
And,0,0,0
lose,0,0,0
the,0,0,0
name,0,0,0
of,0,0,0
action.-,0,0,0
Soft,0,0,0
you,0,0,0
now!,0,0,1
The,0,0,0
fair,0,0,0
Ophelia!-,0,0,0
"Nymph,",0,0,0
in,0,0,0
thy,0,0,0
orisons,0,0,1
Be,0,0,0
all,0,0,0
my,0,0,0
sins,0,0,0
rememb'red.,0,0,1
To,0,1,0
"be,",0,1,0
or,0,1,0
not,0,1,0
to,0,1,0
be-,0,1,0
that,0,1,0
is,0,1,0
the,0,1,0
interrogate,1,1,1
Whether,0,1,0
'tis,0,1,0
nobler,0,1,0
in,0,1,0
the,0,1,0
understanding,1,1,0
to,0,1,0
allow,1,1,1
The,0,1,0
slings,0,1,0
and,0,1,0
arrows,0,1,0
of,0,1,0
violent,1,1,0
luck,1,1,1
Or,0,1,0
to,0,1,0
lay,1,1,0
arms,0,1,0
opposite,1,1,0
a,0,1,0
sea,0,1,0
of,0,1,0
"troubles,",0,1,1
And,0,1,0
through,1,1,0
opposing,0,1,0
close,1,1,0
them.,0,1,0
To,0,1,0
decease,1,1,0
to,0,1,0
sleep-,0,1,1
No,0,1,0
more;,0,1,0
and,0,1,0
at,1,1,0
a,0,1,0
sleep,0,1,0
to,0,1,0
express,1,1,0
we,0,1,0
re,1,1,1
The,0,1,0
"heartache,",0,1,0
and,0,1,0
the,0,1,0
thousand,0,1,0
artless,1,1,0
shocks,0,1,1
That,0,1,0
flesh,0,1,0
is,0,1,0
heir,0,1,0
to.,0,1,0
'Tis,0,1,0
a,0,1,0
achievement,1,1,1
Devoutly,0,1,0
to,0,1,0
be,0,1,0
wish'd.,0,1,0
To,0,1,0
expire,1,1,0
to,0,1,0
sleep.,0,1,1
To,0,1,0
sleep-,0,1,0
perchance,0,1,0
to,0,1,0
reverie,1,1,0
"ay,",0,1,0
there's,0,1,0
the,0,1,0
rub!,0,1,1
For,0,1,0
in,0,1,0
that,0,1,0
sleep,0,1,0
of,0,1,0
dying,1,1,0
what,0,1,0
dreams,0,1,0
may,0,1,0
come,0,1,1
When,0,1,0
we,0,1,0
own,1,1,0
shuffled,0,1,0
off,0,1,0
this,0,1,0
deadly,1,1,0
"coil,",0,1,1
Must,0,1,0
supply,1,1,0
us,0,1,0
cease,1,1,0
There's,0,1,0
the,0,1,0
respect,0,1,1
That,0,1,0
makes,0,1,0
disaster,1,1,0
of,0,1,0
so,0,1,0
long,0,1,0
being,1,1,1
For,0,1,0
who,0,1,0
would,0,1,0
up,1,1,0
the,0,1,0
whips,0,1,0
and,0,1,0
scorns,0,1,0
of,0,1,0
date,1,1,1
Th',0,1,0
oppressor's,0,1,0
injurious,1,1,0
the,0,1,0
lofty,1,1,0
man's,0,1,0
obloquy,1,1,1
The,0,1,0
pangs,0,1,0
of,0,1,0
despis'd,0,1,0
regard,1,1,0
the,0,1,0
law's,0,1,0
,1,1,1
The,0,1,0
rudeness,1,1,0
of,0,1,0
authority,1,1,0
and,0,1,0
the,0,1,0
spurns,0,1,1
That,0,1,0
longffering,1,1,0
approbation,1,1,0
of,0,1,0
th',0,1,0
unworthy,0,1,0
"takes,",0,1,1
When,0,1,0
he,0,1,0
himself,0,1,0
force,1,1,0
his,0,1,0
quietus,0,1,0
make,0,1,1
"of,",1,1,0
a,0,1,0
unclothed,1,1,0
bodkin?,0,1,0
Who,0,1,0
would,0,1,0
these,0,1,0
fardels,0,1,0
support,1,1,1
To,0,1,0
grunt,0,1,0
and,0,1,0
sweat,0,1,0
below,1,1,0
a,0,1,0
tiresome,1,1,0
v,1,1,1
"furthermore,",1,1,0
that,0,1,0
the,0,1,0
awe,1,1,0
of,0,1,0
something,0,1,0
back,1,1,0
dying,1,1,1
The,0,1,0
undiscover'd,0,1,0
"country,",0,1,0
from,0,1,0
whose,0,1,0
bourn,0,1,1
No,0,1,0
traveller,0,1,0
returns-,0,1,0
puzzles,0,1,0
the,0,1,0
direct,1,1,1
And,0,1,0
makes,0,1,0
us,0,1,0
rather,0,1,0
support,1,1,0
those,0,1,0
ills,0,1,0
we,0,1,0
hold,1,1,1
Than,0,1,0
fly,0,1,0
to,0,1,0
others,0,1,0
that,0,1,0
we,0,1,0
acquaint,1,1,0
not,0,1,0
of?,0,1,1
Thus,0,1,0
sense,1,1,0
does,0,1,0
make,0,1,0
cowards,0,1,0
of,0,1,0
us,0,1,0
entire,1,1,1
And,0,1,0
thus,0,1,0
the,0,1,0
innate,1,1,0
hue,0,1,0
of,0,1,0
resolution,0,1,1
Is,0,1,0
sicklied,0,1,0
o'er,0,1,0
side,1,1,0
the,0,1,0
white,1,1,0
throw,1,1,0
of,0,1,0
imagination,1,1,1
And,0,1,0
enterprises,0,1,0
of,0,1,0
large,1,1,0
pith,0,1,0
and,0,1,0
twinkling,1,1,1
the,1,1,0
this,0,1,0
esteem,1,1,0
their,0,1,0
currents,0,1,0
divert,1,1,0
oblique,1,1,1
And,0,1,0
squander,1,1,0
the,0,1,0
designate,1,1,0
of,0,1,0
movement,1,1,0
agreeable,1,1,0
you,0,1,0
now!,0,1,1
The,0,1,0
unstained,1,1,0
Ophelia!-,0,1,0
"Nymph,",0,1,0
in,0,1,0
thy,0,1,0
orisons,0,1,1
Be,0,1,0
entire,1,1,0
my,0,1,0
sins,0,1,0
rememb'red.,0,1,1
To,0,2,0
"be,",0,2,0
or,0,2,0
not,0,2,0
to,0,2,0
be-,0,2,0
that,0,2,0
is,0,2,0
the,0,2,0
ask,1,2,1
Whether,0,2,0
'tis,0,2,0
nobler,0,2,0
in,0,2,0
the,0,2,0
intelligence,1,2,0
to,0,2,0
admit,1,2,1
The,0,2,0
slings,0,2,0
and,0,2,0
arrows,0,2,0
