word,isNew,iteration,endLine
She’s,0,0,0
saying,0,0,0
now,0,0,0
I’m,0,0,0
23,0,0,0
and,0,0,0
I,0,0,0
should,0,0,0
have,0,0,0
a,0,0,0
degree,0,0,1
The,0,0,0
"favorite,",0,0,0
the,0,0,0
only,0,0,0
"son,",0,0,0
but,0,0,0
look,0,0,0
what,0,0,0
happened,0,0,0
to,0,0,0
me,0,0,1
The,0,0,0
wrong,0,0,0
path,0,0,0
or,0,0,0
closer,0,0,0
to,0,0,0
a,0,0,0
multi-faceted,0,0,0
dream?,0,0,1
I’m,0,0,0
saying,0,0,0
rap’s,0,0,0
the,0,0,0
way,0,0,0
to,0,0,0
sway,0,0,0
she’s,0,0,0
saying,0,0,0
that’s,0,0,0
a,0,0,0
disease,0,0,1
She,0,0,0
wants,0,0,0
a,0,0,0
Master,0,0,0
from,0,0,0
me,0,0,0
I,0,0,0
just,0,0,0
want,0,0,0
to,0,0,0
master,0,0,0
the,0,0,0
keys,0,0,1
To,0,0,0
open,0,0,0
any,0,0,0
door,0,0,0
ahead,0,0,0
and,0,0,0
make,0,0,0
it,0,0,0
passionate,0,0,0
themed,0,0,1
Who,0,0,0
doesn’t,0,0,0
want,0,0,0
to,0,0,0
exceed?,0,0,0
But,0,0,0
seeds,0,0,0
need,0,0,0
the,0,0,0
right,0,0,0
environment,0,0,1
All,0,0,0
I,0,0,0
wanted,0,0,0
was,0,0,0
a,0,0,0
voice.,0,0,0
Acquire,0,0,0
what,0,0,0
a,0,0,0
choir,0,0,0
sings,0,0,1
Dizzy,0,0,0
and,0,0,0
I’m,0,0,0
tired,0,0,0
in,0,0,0
the,0,0,0
tire,0,0,0
swings,0,0,1
Trying,0,0,0
to,0,0,0
get,0,0,0
in,0,0,0
showbiz,0,0,0
but,0,0,0
the,0,0,0
pockets,0,0,0
skinny,0,0,1
Trying,0,0,0
to,0,0,0
find,0,0,0
a,0,0,0
stage,0,0,0
and,0,0,0
rock,0,0,0
it,0,0,0
