word,isNew,iteration,endLine
My,0,0,0
house,0,0,0
disgusted,0,0,0
"me,",0,0,0
so,0,0,0
I,0,0,0
slept,0,0,0
in,0,0,0
a,0,0,0
tent.,0,0,1
My,0,0,0
tent,0,0,0
disgusted,0,0,0
"me,",0,0,0
so,0,0,0
I,0,0,0
slept,0,0,0
in,0,0,0
the,0,0,0
grass.,0,0,0
The,0,0,0
grass,0,0,0
disgusted,0,0,0
"me,",0,0,1
so,0,0,0
I,0,0,0
slept,0,0,0
in,0,0,0
my,0,0,0
"body,",0,0,0
which,0,0,0
I,0,0,0
strung,0,0,0
like,0,0,0
a,0,0,0
hammock,0,0,0
from,0,0,0
two,0,0,0
ropes.,0,0,1
My,0,0,0
body,0,0,0
disgusted,0,0,0
"me,",0,0,0
so,0,0,0
I,0,0,0
carved,0,0,0
myself,0,0,0
out,0,0,0
of,0,0,0
it.,0,0,1
My,0,0,0
use,0,0,0
of,0,0,0
knives,0,0,0
disgusted,0,0,0
me,0,0,0
because,0,0,0
it,0,0,0
was,0,0,0
an,0,0,0
act,0,0,0
of,0,0,0
violence.,0,0,1
My,0,0,0
weakness,0,0,0
disgusted,0,0,0
me,0,0,0
because,0,0,0
“Hannah”,0,0,0
means,0,0,0
“hammer.”,0,0,1
The,0,0,0
meaning,0,0,0
of,0,0,0
my,0,0,0
name,0,0,0
disgusted,0,0,0
me,0,0,0
because,0,0,0
I’d,0,0,0
rather,0,0,0
be,0,0,0
known,0,0,1
as,0,0,0
beautiful.,0,0,0
My,0,0,0
vanity,0,0,0
disgusted,0,0,0
me,0,0,0
because,0,0,0
I,0,0,0
am,0,0,0
a,0,0,0
scholar.,0,0,1
My,0,0,0
scholarship,0,0,0
disgusted,0,0,0
me,0,0,0
because,0,0,0
knowledge,0,0,0
is,0,0,0
empty.,0,0,1
My,0,0,0
emptiness,0,0,0
disgusted,0,0,0
me,0,0,0
because,0,0,0
I,0,0,0
wanted,0,0,0
to,0,0,0
be,0,0,0
whole.,0,0,1
My,0,0,0
wholeness,0,0,0
would,0,0,0
have,0,0,0
disgusted,0,0,0
me,0,0,0
because,0,0,0
to,0,0,0
be,0,0,0
whole,0,0,1
is,0,0,0
to,0,0,0
be,0,0,0
smug.,0,0,0
"Still,",0,0,0
I,0,0,0
tried,0,0,0
to,0,0,0
understand,0,0,0
wholeness,0,0,1
as,0,0,0
the,0,0,0
inclusiveness,0,0,0
of,0,0,0
all,0,0,0
activities:,0,0,0
I,0,0,0
walked,0,0,0
out,0,0,0
into,0,0,0
the,0,0,0
"yard,",0,0,1
trying,0,0,0
to,0,0,0
vomit,0,0,0
and,0,0,0
drink,0,0,0
milk,0,0,0
simultaneously.,0,0,0
I,0,0,0
tried,0,0,0
to,0,0,0
sleep,0,0,1
while,0,0,0
smoking,0,0,0
a,0,0,0
cigar.,0,0,0
I,0,0,0
have,0,0,0
enough,0,0,0
regrets,0,0,0
to,0,0,0
crack,0,0,0
all,0,0,0
the,0,0,0
plumbing.,0,0,1
I’m,0,0,0
whole,0,0,0
only,0,0,0
in,0,0,0
that,0,0,0
I’ve,0,0,0
built,0,0,0
my,0,0,0
person,0,0,0
from,0,0,0
every,0,0,0
thought,0,0,0
I’ve,0,0,0
ever,0,0,0
loved.,0,0,1
My,0,1,0
house,0,1,0
disgusted,0,1,0
"me,",0,1,0
so,0,1,0
I,0,1,0
slept,0,1,0
in,0,1,0
a,0,1,0
tent.,0,1,1
My,0,1,0
tent,0,1,0
disgusted,0,1,0
"me,",0,1,0
so,0,1,0
I,0,1,0
slept,0,1,0
in,0,1,0
the,0,1,0
grass.,0,1,0
The,0,1,0
grass,0,1,0
disgusted,0,1,0
"me,",0,1,1
so,0,1,0
I,0,1,0
slept,0,1,0
in,0,1,0
my,0,1,0
substance,1,1,0
which,0,1,0
I,0,1,0
strung,0,1,0
similar,1,1,0
a,0,1,0
hammock,0,1,0
from,0,1,0
two,0,1,0
ropes.,0,1,1
My,0,1,0
or,1,1,0
disgusted,0,1,0
"me,",0,1,0
so,0,1,0
I,0,1,0
carved,0,1,0
myself,0,1,0
out,0,1,0
of,0,1,0
it.,0,1,1
My,0,1,0
employment,1,1,0
of,0,1,0
knives,0,1,0
disgusted,0,1,0
me,0,1,0
as,1,1,0
it,0,1,0
was,0,1,0
an,0,1,0
work,1,1,0
of,0,1,0
impetuosity,1,1,1
My,0,1,0
feebleness,1,1,0
disgusted,0,1,0
me,0,1,0
inasmuch,1,1,0
“Hannah”,0,1,0
means,0,1,0
“hammer.”,0,1,1
The,0,1,0
import,1,1,0
of,0,1,0
my,0,1,0
denominate,1,1,0
disgusted,0,1,0
me,0,1,0
since,1,1,0
I’d,0,1,0
rather,0,1,0
be,0,1,0
known,0,1,1
as,0,1,0
lovely,1,1,0
My,0,1,0
,1,1,0
disgusted,0,1,0
me,0,1,0
since,1,1,0
I,0,1,0
am,0,1,0
a,0,1,0
learner,1,1,1
My,0,1,0
scholarship,0,1,0
disgusted,0,1,0
me,0,1,0
as,1,1,0
learning,1,1,0
is,0,1,0
empty.,0,1,1
My,0,1,0
emptiness,0,1,0
disgusted,0,1,0
me,0,1,0
inasmuch,1,1,0
I,0,1,0
wanted,0,1,0
to,0,1,0
be,0,1,0
,1,1,1
My,0,1,0
wholeness,0,1,0
would,0,1,0
consider,1,1,0
disgusted,0,1,0
me,0,1,0
inasmuch,1,1,0
to,0,1,0
be,0,1,0
uninjured,1,1,1
is,0,1,0
to,0,1,0
be,0,1,0
smug.,0,1,0
serene,1,1,0
I,0,1,0
tried,0,1,0
to,0,1,0
comprehend,1,1,0
wholeness,0,1,1
as,0,1,0
the,0,1,0
inclusiveness,0,1,0
of,0,1,0
whole,1,1,0
activities:,0,1,0
I,0,1,0
walked,0,1,0
out,0,1,0
into,0,1,0
the,0,1,0
"yard,",0,1,1
trying,0,1,0
to,0,1,0
vomit,0,1,0
and,0,1,0
imbibe,1,1,0
milk,0,1,0
simultaneously.,0,1,0
I,0,1,0
tried,0,1,0
to,0,1,0
sleep,0,1,1
while,0,1,0
smoking,0,1,0
a,0,1,0
cigar.,0,1,0
I,0,1,0
be,1,1,0
ample,1,1,0
regrets,0,1,0
to,0,1,0
rend,1,1,0
whole,1,1,0
the,0,1,0
plumbing.,0,1,1
I’m,0,1,0
uninjured,1,1,0
sole,1,1,0
in,0,1,0
that,0,1,0
I’ve,0,1,0
built,0,1,0
my,0,1,0
person,0,1,0
from,0,1,0
both,1,1,0
fancy,1,1,0
I’ve,0,1,0
evermore,1,1,0
loved.,0,1,1
My,0,2,0
house,0,2,0
disgusted,0,2,0
"me,",0,2,0
so,0,2,0
I,0,2,0
slept,0,2,0
in,0,2,0
a,0,2,0
tent.,0,2,1
My,0,2,0
tent,0,2,0
disgusted,0,2,0
"me,",0,2,0
so,0,2,0
I,0,2,0
slept,0,2,0
in,0,2,0
the,0,2,0
grass.,0,2,0
The,0,2,0
grass,0,2,0
disgusted,0,2,0
"me,",0,2,1
so,0,2,0
I,0,2,0
slept,0,2,0
in,0,2,0
my,0,2,0
substance,0,2,0
which,0,2,0
I,0,2,0
strung,0,2,0
corresponding,1,2,0
a,0,2,0
hammock,0,2,0
from,0,2,0
two,0,2,0
ropes.,0,2,1
My,0,2,0
or,0,2,0
disgusted,0,2,0
"me,",0,2,0
so,0,2,0
I,0,2,0
carved,0,2,0
myself,0,2,0
out,0,2,0
of,0,2,0
it.,0,2,1
My,0,2,0
trade,1,2,0
of,0,2,0
knives,0,2,0
disgusted,0,2,0
me,0,2,0
as,0,2,0
it,0,2,0
was,0,2,0
an,0,2,0
self,1,2,0
of,0,2,0
impetuosity,0,2,1
My,0,2,0
feebleness,0,2,0
disgusted,0,2,0
me,0,2,0
inasmuch,0,2,0
“Hannah”,0,2,0
means,0,2,0
“hammer.”,0,2,1
The,0,2,0
purport,1,2,0
of,0,2,0
my,0,2,0
denominate,0,2,0
disgusted,0,2,0
me,0,2,0
since,0,2,0
I’d,0,2,0
rather,0,2,0
be,0,2,0
known,0,2,1
as,0,2,0
delectable,1,2,0
My,0,2,0
sensible,1,2,0
disgusted,0,2,0
me,0,2,0
since,0,2,0
I,0,2,0
am,0,2,0
a,0,2,0
pupil,1,2,1
My,0,2,0
scholarship,0,2,0
disgusted,0,2,0
me,0,2,0
as,0,2,0
knowledge,1,2,0
is,0,2,0
empty.,0,2,1
My,0,2,0
emptiness,0,2,0
disgusted,0,2,0
me,0,2,0
inasmuch,0,2,0
I,0,2,0
wanted,0,2,0
to,0,2,0
be,0,2,0
animated,1,2,1
My,0,2,0
wholeness,0,2,0
would,0,2,0
weigh,1,2,0
disgusted,0,2,0
me,0,2,0
