word,isNew,iteration,endLine
The,0,0,0
eyes,0,0,0
open,0,0,0
to,0,0,0
a,0,0,0
cry,0,0,0
of,0,0,0
"pulleys,",0,0,1
And,0,0,0
spirited,0,0,0
from,0,0,0
"sleep,",0,0,0
the,0,0,0
astounded,0,0,0
soul,0,0,1
Hangs,0,0,0
for,0,0,0
a,0,0,0
moment,0,0,0
bodiless,0,0,0
and,0,0,0
simple,0,0,1
As,0,0,0
false,0,0,0
dawn.,0,0,1
Outside,0,0,0
the,0,0,0
open,0,0,0
window,0,0,1
The,0,0,0
morning,0,0,0
air,0,0,0
is,0,0,0
all,0,0,0
awash,0,0,0
with,0,0,0
angels.,0,0,1
Some,0,0,0
are,0,0,0
in,0,0,0
"bed-sheets,",0,0,0
some,0,0,0
are,0,0,0
in,0,0,0
"blouses,",0,0,1
Some,0,0,0
are,0,0,0
in,0,0,0
smocks:,0,0,0
but,0,0,0
truly,0,0,0
there,0,0,0
they,0,0,0
are.,0,0,1
Now,0,0,0
they,0,0,0
are,0,0,0
rising,0,0,0
together,0,0,0
in,0,0,0
calm,0,0,0
swells,0,0,1
Of,0,0,0
halcyon,0,0,0
"feeling,",0,0,0
filling,0,0,0
whatever,0,0,0
they,0,0,0
wear,0,0,1
With,0,0,0
the,0,0,0
deep,0,0,0
joy,0,0,0
of,0,0,0
their,0,0,0
impersonal,0,0,0
breathing;,0,0,1
Now,0,0,0
they,0,0,0
are,0,0,0
flying,0,0,0
in,0,0,0
"place,",0,0,0
conveying,0,0,1
The,0,0,0
terrible,0,0,0
speed,0,0,0
of,0,0,0
their,0,0,0
"omnipresence,",0,0,0
moving,0,0,1
And,0,0,0
staying,0,0,0
like,0,0,0
white,0,0,0
water;,0,0,0
and,0,0,0
now,0,0,0
of,0,0,0
a,0,0,0
sudden,0,0,1
They,0,0,0
swoon,0,0,0
down,0,0,0
into,0,0,0
so,0,0,0
rapt,0,0,0
a,0,0,0
quiet,0,0,1
That,0,0,0
nobody,0,0,0
seems,0,0,0
to,0,0,0
be,0,0,0
there.,0,0,1
The,0,0,0
soul,0,0,0
shrinks,0,0,1
From,0,0,0
all,0,0,0
that,0,0,0
it,0,0,0
is,0,0,0
about,0,0,0
to,0,0,0
"remember,",0,0,1
From,0,0,0
the,0,0,0
punctual,0,0,0
rape,0,0,0
of,0,0,0
every,0,0,0
blessèd,0,0,0
"day,",0,0,1
And,0,0,0
"cries,",0,0,1
"""Oh,",0,0,0
let,0,0,0
there,0,0,0
be,0,0,0
nothing,0,0,0
on,0,0,0
earth,0,0,0
but,0,0,0
"laundry,",0,0,1
Nothing,0,0,0
but,0,0,0
rosy,0,0,0
hands,0,0,0
in,0,0,0
the,0,0,0
rising,0,0,0
steam,0,0,1
And,0,0,0
clear,0,0,0
dances,0,0,0
done,0,0,0
in,0,0,0
the,0,0,0
sight,0,0,0
of,0,0,0
"heaven.""",0,0,1
"Yet,",0,0,0
as,0,0,0
the,0,0,0
sun,0,0,0
acknowledges,0,0,1
With,0,0,0
a,0,0,0
warm,0,0,0
look,0,0,0
the,0,0,0
world's,0,0,0
hunks,0,0,0
and,0,0,0
"colors,",0,0,1
The,0,0,0
soul,0,0,0
descends,0,0,0
once,0,0,0
more,0,0,0
in,0,0,0
bitter,0,0,0
love,0,0,1
To,0,0,0
accept,0,0,0
the,0,0,0
waking,0,0,0
"body,",0,0,0
saying,0,0,0
now,0,0,1
In,0,0,0
a,0,0,0
changed,0,0,0
voice,0,0,0
as,0,0,0
the,0,0,0
man,0,0,0
yawns,0,0,0
and,0,0,0
"rises,",0,0,1
"""Bring",0,0,0
them,0,0,0
down,0,0,0
from,0,0,0
their,0,0,0
ruddy,0,0,0
gallows;,0,0,1
Let,0,0,0
there,0,0,0
be,0,0,0
clean,0,0,0
linen,0,0,0
for,0,0,0
the,0,0,0
backs,0,0,0
of,0,0,0
thieves;,0,0,1
Let,0,0,0
lovers,0,0,0
go,0,0,0
fresh,0,0,0
and,0,0,0
sweet,0,0,0
to,0,0,0
be,0,0,0
"undone,",0,0,1
And,0,0,0
the,0,0,0
heaviest,0,0,0
nuns,0,0,0
walk,0,0,0
in,0,0,0
a,0,0,0
pure,0,0,0
floating,0,0,1
Of,0,0,0
dark,0,0,0
"habits,",0,0,1
keeping,0,0,0
their,0,0,0
difficult,0,0,0
"balance.""",0,0,1
The,0,1,0
eyes,0,1,0
open,0,1,0
to,0,1,0
a,0,1,0
cry,0,1,0
of,0,1,0
"pulleys,",0,1,1
And,0,1,0
spirited,0,1,0
from,0,1,0
"sleep,",0,1,0
the,0,1,0
astounded,0,1,0
fire,1,1,1
Hangs,0,1,0
for,0,1,0
a,0,1,0
twinkling,1,1,0
bodiless,0,1,0
and,0,1,0
mere,1,1,1
As,0,1,0
mendacious,1,1,0
begin,1,1,1
Outside,0,1,0
the,0,1,0
open,0,1,0
window,0,1,1
The,0,1,0
morning,0,1,0
atmosphere,1,1,0
is,0,1,0
entire,1,1,0
awash,0,1,0
side,1,1,0
angels.,0,1,1
Some,0,1,0
are,0,1,0
in,0,1,0
"bed-sheets,",0,1,0
some,0,1,0
are,0,1,0
in,0,1,0
"blouses,",0,1,1
Some,0,1,0
are,0,1,0
in,0,1,0
smocks:,0,1,0
save,1,1,0
truly,0,1,0
there,0,1,0
they,0,1,0
are.,0,1,1
Now,0,1,0
they,0,1,0
are,0,1,0
rising,0,1,0
simultaneously,1,1,0
in,0,1,0
placid,1,1,0
swells,0,1,1
Of,0,1,0
calm,1,1,0
touch,1,1,0
filling,0,1,0
whatever,0,1,0
they,0,1,0
use,1,1,1
"of,",1,1,0
the,0,1,0
astute,1,1,0
gladness,1,1,0
of,0,1,0
their,0,1,0
impersonal,0,1,0
breathing;,0,1,1
Now,0,1,0
they,0,1,0
are,0,1,0
flying,0,1,0
in,0,1,0
"place,",0,1,0
conveying,0,1,1
The,0,1,0
horrible,1,1,0
speed,0,1,0
of,0,1,0
their,0,1,0
"omnipresence,",0,1,0
moving,0,1,1
And,0,1,0
staying,0,1,0
