word,isNew,iteration,endLine
After,0,0,0
filling,0,0,0
my,0,0,0
reputation,0,0,0
of,0,0,0
whore,0,0,0
beaters,0,0,1
Soared,0,0,0
to,0,0,0
Taco,0,0,0
Bell,0,0,0
and,0,0,0
I,0,0,0
ordered,0,0,0
some,0,0,0
gorditas,0,0,0
"(Mmm,",0,0,0
that's,0,0,0
good!),0,0,1
Wanted,0,0,0
four,0,0,0
"more,",0,0,0
ordered,0,0,0
"'em,",0,0,0
didn't,0,0,0
eat,0,0,0
'em,0,0,1
Then,0,0,0
head,0,0,0
to,0,0,0
Thebe's,0,0,0
house,0,0,0
for,0,0,0
some,0,0,0
gymnastics,0,0,1
"Fantastic,",0,0,0
I,0,0,0
backflip,0,0,0
on,0,0,0
this,0,0,0
beat,0,0,0
B,0,0,1
Cause,0,0,0
we,0,0,0
running,0,0,0
shit,0,0,0
like,0,0,0
the,0,0,0
Dingleberries,0,0,0
on,0,0,0
four,0,0,0
cheetahs,0,0,1
Flow,0,0,0
colder,0,0,0
than,0,0,0
Papa,0,0,0
"Joe's,",0,0,0
old,0,0,0
Domino's,0,0,1
(Fuck,0,0,0
"it,",0,0,0
"whatever,",0,0,0
um),0,0,1
Trashwang,0,0,0
scratched,0,0,0
inside,0,0,0
the,0,0,0
knucks,0,0,1
Got,0,0,0
some,0,0,0
One,0,0,0
Direction,0,0,0
"tickets,",0,0,0
I,0,0,0
should,0,0,0
hit,0,0,0
that,0,0,0
up,0,0,1
Drive,0,0,0
by,0,0,0
with,0,0,0
puppy,0,0,0
signs,0,0,0
plastered,0,0,0
on,0,0,0
the,0,0,0
truck,0,0,1
Then,0,0,0
see,0,0,0
how,0,0,0
many,0,0,0
of,0,0,0
they,0,0,0
fans,0,0,0
could,0,0,0
fit,0,0,0
inside,0,0,0
the,0,0,0
trunk,0,0,1
Move,0,0,0
over,0,0,0
the,0,0,0
microwave,0,0,0
and,0,0,0
the,0,0,0
cannabis,0,0,1
Try,0,0,0
to,0,0,0
take,0,0,0
the,0,0,0
van,0,0,0
and,0,0,0
the,0,0,0
whole,0,0,0
band,0,0,0
to,0,0,0
Canada,0,0,1
Fuck,0,0,0
the,0,0,0
block,0,0,0
news,0,0,0
and,0,0,0
the,0,0,0
"venues,",0,0,0
they,0,0,0
can't,0,0,0
handle,0,0,0
us,0,0,1
They,0,0,0
can't,0,0,0
stand,0,0,0
us,0,0,0
including,0,0,0
fruits,0,0,0
that,0,0,0
Frank's,0,0,0
channeling,0,0,1
The,0,0,0
Ku,0,0,0
Klux,0,0,0
Klan,0,0,0
see,0,0,0
me,0,0,0
and,0,0,0
my,0,0,0
managers,0,0,1
But,0,0,0
thank,0,0,0
me,0,0,0
when,0,0,0
they,0,0,0
ask,0,0,0
where,0,0,0
the,0,0,0
Five,0,0,0
Panels,0,0,0
is,0,0,1
"Man,",0,0,0
I,0,0,0
suck,0,0,0
"now,",0,0,0
I,0,0,0
ain't,0,0,0
still,0,0,0
dope,0,0,1
But,0,0,0
Chris,0,0,0
and,0,0,0
Rihanna's,0,0,0
fuckin',0,0,0
again,0,0,0
so,0,0,0
there's,0,0,0
still,0,0,0
hope,0,0,1
"concerning,",1,1,0
filling,0,1,0
my,0,1,0
reputation,0,1,0
of,0,1,0
whore,0,1,0
beaters,0,1,1
Soared,0,1,0
to,0,1,0
Taco,0,1,0
Bell,0,1,0
and,0,1,0
I,0,1,0
ordered,0,1,0
some,0,1,0
gorditas,0,1,0
"(Mmm,",0,1,0
that's,0,1,0
adieu,1,1,1
Wanted,0,1,0
four,0,1,0
"more,",0,1,0
ordered,0,1,0
"'em,",0,1,0
didn't,0,1,0
eat,0,1,0
'em,0,1,1
Then,0,1,0
summit,1,1,0
to,0,1,0
Thebe's,0,1,0
house,0,1,0
for,0,1,0
some,0,1,0
gymnastics,0,1,1
"Fantastic,",0,1,0
I,0,1,0
backflip,0,1,0
on,0,1,0
this,0,1,0
overcome,1,1,0
B,0,1,1
"creator,",1,1,0
we,0,1,0
running,0,1,0
shit,0,1,0
similar,1,1,0
the,0,1,0
Dingleberries,0,1,0
on,0,1,0
four,0,1,0
cheetahs,0,1,1
roll,1,1,0
colder,0,1,0
than,0,1,0
Papa,0,1,0
"Joe's,",0,1,0
primitive,1,1,0
Domino's,0,1,1
(Fuck,0,1,0
"it,",0,1,0
"whatever,",0,1,0
um),0,1,1
Trashwang,0,1,0
scratched,0,1,0
within,1,1,0
the,0,1,0
knucks,0,1,1
Got,0,1,0
some,0,1,0
solitary,1,1,0
course,1,1,0
"tickets,",0,1,0
I,0,1,0
should,0,1,0
win,1,1,0
that,0,1,0
up,0,1,1
"propel,",1,1,0
through,1,1,0
of,1,1,0
puppy,0,1,0
signs,0,1,0
plastered,0,1,0
on,0,1,0
the,0,1,0
truck,0,1,1
Then,0,1,0
behold,1,1,0
how,0,1,0
various,1,1,0
of,0,1,0
they,0,1,0
fans,0,1,0
could,0,1,0
,1,1,0
internally,1,1,0
the,0,1,0
trunk,0,1,1
"agitate,",1,1,0
over,0,1,0
the,0,1,0
microwave,0,1,0
and,0,1,0
the,0,1,0
cannabis,0,1,1
Try,0,1,0
to,0,1,0
lay,1,1,0
the,0,1,0
van,0,1,0
and,0,1,0
the,0,1,0
undivided,1,1,0
band,0,1,0
to,0,1,0
Canada,0,1,1
Fuck,0,1,0
the,0,1,0
arrest,1,1,0
word,1,1,0
and,0,1,0
the,0,1,0
"venues,",0,1,0
they,0,1,0
can't,0,1,0
feel,1,1,0
us,0,1,1
They,0,1,0
can't,0,1,0
rest,1,1,0
us,0,1,0
including,0,1,0
fruits,0,1,0
that,0,1,0
Frank's,0,1,0
channeling,0,1,1
The,0,1,0
Ku,0,1,0
Klux,0,1,0
Klan,0,1,0
behold,1,1,0
me,0,1,0
and,0,1,0
my,0,1,0
managers,0,1,1
"Save,",1,1,0
thank,0,1,0
me,0,1,0
when,0,1,0
they,0,1,0
request,1,1,0
where,0,1,0
the,0,1,0
Five,0,1,0
Panels,0,1,0
is,0,1,1
"Man,",0,1,0
I,0,1,0
suck,0,1,0
"now,",0,1,0
I,0,1,0
ain't,0,1,0
placid,1,1,0
dope,0,1,1
"Save,",1,1,0
Chris,0,1,0
and,0,1,0
Rihanna's,0,1,0
fuckin',0,1,0
,1,1,0
so,0,1,0
there's,0,1,0
quiet,1,1,0
confidence,1,1,1
"About,",1,2,0
filling,0,2,0
my,0,2,0
reputation,0,2,0
of,0,2,0
whore,0,2,0
beaters,0,2,1
Soared,0,2,0
to,0,2,0
Taco,0,2,0
Bell,0,2,0
and,0,2,0
I,0,2,0
ordered,0,2,0
some,0,2,0
gorditas,0,2,0
"(Mmm,",0,2,0
that's,0,2,0
adieu,0,2,1
Wanted,0,2,0
four,0,2,0
"more,",0,2,0
ordered,0,2,0
"'em,",0,2,0
didn't,0,2,0
eat,0,2,0
'em,0,2,1
Then,0,2,0
summit,0,2,0
to,0,2,0
Thebe's,0,2,0
house,0,2,0
for,0,2,0
some,0,2,0
gymnastics,0,2,1
"Fantastic,",0,2,0
I,0,2,0
backflip,0,2,0
on,0,2,0
this,0,2,0
conquer,1,2,0
B,0,2,1
"creator,",0,2,0
we,0,2,0
running,0,2,0
shit,0,2,0
corresponding,1,2,0
the,0,2,0
Dingleberries,0,2,0
on,0,2,0
four,0,2,0
cheetahs,0,2,1
roll,0,2,0
colder,0,2,0
than,0,2,0
Papa,0,2,0
"Joe's,",0,2,0
primitive,0,2,0
Domino's,0,2,1
(Fuck,0,2,0
"it,",0,2,0
"whatever,",0,2,0
um),0,2,1
Trashwang,0,2,0
scratched,0,2,0
limits,1,2,0
the,0,2,0
knucks,0,2,1
Got,0,2,0
some,0,2,0
solitary,0,2,0
route,1,2,0
"tickets,",0,2,0
I,0,2,0
should,0,2,0
procure,1,2,0
that,0,2,0
up,0,2,1
"propel,",0,2,0
through,0,2,0
of,0,2,0
puppy,0,2,0
signs,0,2,0
plastered,0,2,0
on,0,2,0
the,0,2,0
truck,0,2,1
Then,0,2,0
discern,1,2,0
how,0,2,0
uncertain,1,2,0
of,0,2,0
they,0,2,0
fans,0,2,0
could,0,2,0
penetrating,1,2,0
internally,0,2,0
the,0,2,0
trunk,0,2,1
"Disturb,",1,2,0
over,0,2,0
the,0,2,0
microwave,0,2,0
and,0,2,0
the,0,2,0
cannabis,0,2,1
Try,0,2,0
to,0,2,0
dispose,1,2,0
the,0,2,0
van,0,2,0
and,0,2,0
the,0,2,0
undivided,0,2,0
band,0,2,0
to,0,2,0
Canada,0,2,1
Fuck,0,2,0
the,0,2,0
capture,1,2,0
tongue,1,2,0
and,0,2,0
the,0,2,0
"venues,",0,2,0
they,0,2,0
can't,0,2,0
be,1,2,0
us,0,2,1
They,0,2,0
can't,0,2,0
rest,0,2,0
us,0,2,0
including,0,2,0
fruits,0,2,0
that,0,2,0
Frank's,0,2,0
channeling,0,2,1
The,0,2,0
Ku,0,2,0
Klux,0,2,0
Klan,0,2,0
discern,1,2,0
me,0,2,0
and,0,2,0
my,0,2,0
managers,0,2,1
"Preserve,",1,2,0
thank,0,2,0
me,0,2,0
when,0,2,0
they,0,2,0
request,0,2,0
where,0,2,0
the,0,2,0
Five,0,2,0
Panels,0,2,0
is,0,2,1
"Man,",0,2,0
I,0,2,0
suck,0,2,0
"now,",0,2,0
I,0,2,0
ain't,0,2,0
contented,1,2,0
dope,0,2,1
deliver;,1,2,0
Chris,0,2,0
and,0,2,0
Rihanna's,0,2,0
fuckin',0,2,0
penetrating,1,2,0
so,0,2,0
there's,0,2,0
unruffled,1,2,0
confidence,0,2,1
"Concerning,",1,3,0
filling,0,3,0
my,0,3,0
reputation,0,3,0
of,0,3,0
whore,0,3,0
beaters,0,3,1
Soared,0,3,0
to,0,3,0
Taco,0,3,0
Bell,0,3,0
and,0,3,0
I,0,3,0
ordered,0,3,0
some,0,3,0
gorditas,0,3,0
"(Mmm,",0,3,0
that's,0,3,0
adieu,0,3,1
Wanted,0,3,0
four,0,3,0
"more,",0,3,0
ordered,0,3,0
"'em,",0,3,0
didn't,0,3,0
eat,0,3,0
'em,0,3,1
Then,0,3,0
summit,0,3,0
to,0,3,0
Thebe's,0,3,0
house,0,3,0
for,0,3,0
some,0,3,0
gymnastics,0,3,1
"Fantastic,",0,3,0
I,0,3,0
backflip,0,3,0
on,0,3,0
this,0,3,0
overcome,1,3,0
B,0,3,1
"creator,",0,3,0
we,0,3,0
running,0,3,0
shit,0,3,0
corresponding,0,3,0
the,0,3,0
Dingleberries,0,3,0
on,0,3,0
four,0,3,0
cheetahs,0,3,1
roll,0,3,0
colder,0,3,0
than,0,3,0
Papa,0,3,0
"Joe's,",0,3,0
primitive,0,3,0
Domino's,0,3,1
(Fuck,0,3,0
"it,",0,3,0
"whatever,",0,3,0
um),0,3,1
Trashwang,0,3,0
scratched,0,3,0
limits,0,3,0
the,0,3,0
knucks,0,3,1
Got,0,3,0
some,0,3,0
solitary,0,3,0
route,0,3,0
"tickets,",0,3,0
I,0,3,0
should,0,3,0
procure,0,3,0
that,0,3,0
up,0,3,1
"propel,",0,3,0
through,0,3,0
of,0,3,0
puppy,0,3,0
signs,0,3,0
plastered,0,3,0
on,0,3,0
the,0,3,0
truck,0,3,1
Then,0,3,0
observe,1,3,0
how,0,3,0
uncertain,0,3,0
of,0,3,0
they,0,3,0
fans,0,3,0
could,0,3,0
penetrating,0,3,0
internally,0,3,0
the,0,3,0
trunk,0,3,1
"Agitate,",1,3,0
over,0,3,0
the,0,3,0
microwave,0,3,0
and,0,3,0
the,0,3,0
cannabis,0,3,1
Try,0,3,0
to,0,3,0
dispose,0,3,0
the,0,3,0
van,0,3,0
and,0,3,0
the,0,3,0
undivided,0,3,0
band,0,3,0
to,0,3,0
Canada,0,3,1
Fuck,0,3,0
the,0,3,0
seize,1,3,0
tongue,0,3,0
and,0,3,0
the,0,3,0
"venues,",0,3,0
they,0,3,0
can't,0,3,0
be,0,3,0
us,0,3,1
They,0,3,0
can't,0,3,0
rest,0,3,0
us,0,3,0
including,0,3,0
fruits,0,3,0
that,0,3,0
Frank's,0,3,0
channeling,0,3,1
The,0,3,0
Ku,0,3,0
Klux,0,3,0
Klan,0,3,0
discriminate,1,3,0
me,0,3,0
and,0,3,0
my,0,3,0
managers,0,3,1
"Preserve,",0,3,0
thank,0,3,0
me,0,3,0
when,0,3,0
they,0,3,0
request,0,3,0
where,0,3,0
the,0,3,0
Five,0,3,0
Panels,0,3,0
is,0,3,1
"Man,",0,3,0
I,0,3,0
suck,0,3,0
"now,",0,3,0
I,0,3,0
ain't,0,3,0
contented,0,3,0
dope,0,3,1
release;,1,3,0
Chris,0,3,0
and,0,3,0
Rihanna's,0,3,0
fuckin',0,3,0
penetrating,0,3,0
so,0,3,0
there's,0,3,0
unruffled,0,3,0
confidence,0,3,1
"About,",1,4,0
