word,isNew,iteration,endLine
Got,0,0,0
many,0,0,0
styles,0,0,1
This,0,0,0
time,0,0,0
just,0,0,0
tryin',0,0,0
to,0,0,0
follow,0,0,0
Milo,0,0,1
These,0,0,0
"days,",0,0,0
most,0,0,0
the,0,0,0
time,0,0,1
I'm,0,0,0
chillin',0,0,0
in,0,0,0
the,0,0,0
hollow,0,0,1
The,0,0,0
sea,0,0,0
slacks,0,0,1
Back,0,0,0
in,0,0,0
high,0,0,0
school,0,0,0
I,0,0,0
wanted,0,0,0
to,0,0,0
be,0,0,0
abstract,0,0,1
Not,0,0,0
like,0,0,0
"Q,",0,0,0
but,0,0,0
pretty,0,0,0
cool,0,0,1
In,0,0,0
my,0,0,0
heart,0,0,1
Was,0,0,0
always,0,0,0
more,0,0,0
Busy,0,0,0
Bee,0,0,0
than,0,0,0
Moe,0,0,0
Dee,0,0,1
Lunch,0,0,0
line,0,0,0
headsets,0,0,0
had,0,0,0
me,0,0,0
thinking,0,0,0
yoghurt,0,0,0
backwards,0,0,1
Plug,0,0,0
in,0,0,0
the,0,0,0
bathysphere,0,0,1
Lake,0,0,0
Champlain,0,0,0
is,0,0,0
crystal,0,0,0
clear,0,0,1
I,0,0,0
owe,0,0,0
it,0,0,0
to,0,0,0
myself,0,0,0
to,0,0,0
speak,0,0,0
free,0,0,1
Kelly,0,0,0
brought,0,0,0
me,0,0,0
green,0,0,0
tea,0,0,0
ice,0,0,0
cream,0,0,1
I,0,0,0
could,0,0,0
never,0,0,0
forget,0,0,1
Eating,0,0,0
sushi,0,0,0
off,0,0,0
ten,0,0,0
dollars,0,0,1
Feeling,0,0,0
rich,0,0,1
That,0,0,0
was,0,0,0
'06,0,0,1
Then,0,0,0
I,0,0,0
wrote,0,0,0
a,0,0,0
lot,0,0,0
of,0,0,0
mean,0,0,0
shit,0,0,1
But,0,0,0
only,0,0,0
got,0,0,0
love,0,0,0
in,0,0,0
my,0,0,0
heart,0,0,1
To,0,0,0
go,0,0,0
along,0,0,0
with,0,0,0
all,0,0,0
them,0,0,0
sad,0,0,0
ships,0,0,1
That,0,0,0
never,0,0,0
came,0,0,1
But,0,0,0
that's,0,0,0
just,0,0,0
life,0,0,1
And,0,0,0
life,0,0,0
is,0,0,0
strange,0,0,1
How,0,0,0
do,0,0,0
you,0,0,0
change,0,0,0
the,0,0,0
way,0,0,0
you,0,0,0
change,0,0,0
the,0,0,0
way,0,0,0
you,0,0,0
feel?,0,0,1
Rain,0,0,0
to,0,0,0
wash,0,0,0
the,0,0,0
window,0,0,0
clear,0,0,1
Wipe,0,0,0
away,0,0,0
constellation,0,0,0
atmosphere,0,0,1
Blue,0,0,0
"lagoon,",0,0,0
my,0,0,0
isolation,0,0,1
Now,0,0,0
I'm,0,0,0
paper,0,0,0
plane,0,0,0
folding,0,0,1
Myself,0,0,0
into,0,0,0
a,0,0,0
fortune,0,0,1
Hoping,0,0,0
some,0,0,0
missing,0,0,0
ocean,0,0,0
will,0,0,0
find,0,0,0
some,0,0,0
luck,0,0,1
Met,0,0,0
Brother,0,0,0
Question,0,0,0
once,0,0,1
Life,0,0,0
in,0,0,0
a,0,0,0
fish,0,0,0
bowl,0,0,0
leaves,0,0,0
me,0,0,0
floating,0,0,0
in,0,0,0
the,0,0,0
punch,0,0,1
Just,0,0,0
trying,0,0,0
to,0,0,0
stay,0,0,0
sober,0,0,1
Got,0,1,0
various,1,1,0
styles,0,1,1
This,0,1,0
period,1,1,0
conforming,1,1,0
tryin',0,1,0
to,0,1,0
chase,1,1,0
Milo,0,1,1
These,0,1,0
"days,",0,1,0
most,0,1,0
the,0,1,0
period,1,1,1
I'm,0,1,0
chillin',0,1,0
in,0,1,0
the,0,1,0
faithless,1,1,1
The,0,1,0
sea,0,1,0
slacks,0,1,1
"aid,",1,1,0
in,0,1,0
superior,1,1,0
school,0,1,0
I,0,1,0
wanted,0,1,0
to,0,1,0
be,0,1,0
appropriate,1,1,1
Not,0,1,0
similar,1,1,0
"Q,",0,1,0
except,1,1,0
pretty,0,1,0
chilling,1,1,1
In,0,1,0
my,0,1,0
organ,1,1,1
Was,0,1,0
forever,1,1,0
more,0,1,0
diligent,1,1,0
Bee,0,1,0
than,0,1,0
Moe,0,1,0
Dee,0,1,1
Lunch,0,1,0
thread,1,1,0
headsets,0,1,0
had,0,1,0
me,0,1,0
thinking,0,1,0
yoghurt,0,1,0
backwards,0,1,1
Plug,0,1,0
in,0,1,0
the,0,1,0
bathysphere,0,1,1
Lake,0,1,0
Champlain,0,1,0
is,0,1,0
crystal,0,1,0
unadorned,1,1,1
I,0,1,0
obliged,1,1,0
it,0,1,0
to,0,1,0
myself,0,1,0
to,0,1,0
tell,1,1,0
liberty,1,1,1
Kelly,0,1,0
brought,0,1,0
me,0,1,0
green,0,1,0
tea,0,1,0
ice,0,1,0
cream,0,1,1
I,0,1,0
could,0,1,0
never,0,1,0
oblivion,1,1,1
Eating,0,1,0
sushi,0,1,0
off,0,1,0
ten,0,1,0
dollars,0,1,1
Sense,1,1,0
abounding,1,1,1
That,0,1,0
was,0,1,0
'06,0,1,1
Then,0,1,0
I,0,1,0
wrote,0,1,0
a,0,1,0
destiny,1,1,0
of,0,1,0
servile,1,1,0
shit,0,1,1
"except,",1,1,0
chief,1,1,0
got,0,1,0
attachment,1,1,0
in,0,1,0
my,0,1,0
of,1,1,1
To,0,1,0
advance,1,1,0
onward,1,1,0
side,1,1,0
complete,1,1,0
them,0,1,0
grievous,1,1,0
ships,0,1,1
That,0,1,0
never,0,1,0
came,0,1,1
"Save,",1,1,0
that's,0,1,0
conforming,1,1,0
being,1,1,1
And,0,1,0
being,1,1,0
is,0,1,0
outlandish,1,1,1
How,0,1,0
bring,1,1,0
you,0,1,0
alter,1,1,0
the,0,1,0
route,1,1,0
you,0,1,0
alter,1,1,0
the,0,1,0
path,1,1,0
you,0,1,0
be,1,1,1
Rain,0,1,0
to,0,1,0
scrub,1,1,0
the,0,1,0
window,0,1,0
serene,1,1,1
Wipe,0,1,0
away,0,1,0
constellation,0,1,0
atmosphere,0,1,1
Blue,0,1,0
"lagoon,",0,1,0
my,0,1,0
detachment,1,1,1
Now,0,1,0
I'm,0,1,0
paper,0,1,0
plane,0,1,0
folding,0,1,1
Myself,0,1,0
into,0,1,0
a,0,1,0
chance,1,1,1
Hoping,0,1,0
some,0,1,0
missing,0,1,0
ocean,0,1,0
devise,1,1,0
upon,1,1,0
some,0,1,0
hap,1,1,1
Met,0,1,0
Brother,0,1,0
ask,1,1,0
once,0,1,1
r,1,1,0
in,0,1,0
a,0,1,0
fish,0,1,0
bowl,0,1,0
leaves,0,1,0
me,0,1,0
floating,0,1,0
in,0,1,0
the,0,1,0
