word,isNew,iteration,endLine
Nothing,0,0,0
in,0,0,0
the,0,0,0
room,0,0,0
can,0,0,0
go,0,0,0
back.,0,0,1
The,0,0,0
ashes,0,0,0
couldn't,0,0,0
be,0,0,0
paper,0,0,0
"again,",0,0,1
the,0,0,0
paper,0,0,0
couldn't,0,0,0
return,0,0,0
to,0,0,0
its,0,0,0
parental,0,0,0
linen,0,0,0
rags.,0,0,1
That,0,0,0
arrow,0,0,0
doesn't,0,0,0
reverse:,0,0,0
the,0,0,0
linen,0,0,1
could,0,0,0
never,0,0,0
again,0,0,0
be,0,0,0
a,0,0,0
possibility,0,0,1
"waiting,",0,0,0
"alive,",0,0,0
inside,0,0,0
the,0,0,0
field,0,0,0
of,0,0,0
flax.,0,0,1
Whatever's,0,0,0
recently,0,0,0
happened,0,0,1
in,0,0,0
the,0,0,0
room,0,0,0
is,0,0,0
beyond,0,0,0
the,0,0,0
boundary,0,0,0
of,0,0,0
this,0,0,0
"poem,",0,0,1
but,0,0,0
we,0,0,0
know,0,0,0
this:,0,0,0
its,0,0,0
people,0,0,0
can't,0,0,0
go,0,0,0
back,0,0,1
to,0,0,0
who,0,0,0
they,0,0,0
were,0,0,0
before.,0,0,0
And,0,0,0
the,0,0,0
"light,",0,0,1
"here,",0,0,0
"now,",0,0,0
or,0,0,0
any,0,0,0
light,0,0,0
as,0,0,0
the,0,0,0
day,0,0,0
goes,0,0,0
"forward,",0,0,1
"yours,",0,0,0
or,0,0,0
mine,0,0,0
...,0,0,0
it,0,0,0
can't,0,0,0
regain,0,0,0
its,0,0,0
first,0,0,0
"existence,",0,0,1
at,0,0,0
the,0,0,0
start,0,0,0
of,0,0,0
things:,0,0,0
an,0,0,0
innocence.,0,0,1
For,0,0,0
once,0,0,0
it,0,0,0
touches,0,0,0
the,0,0,0
"world,",0,0,0
it,0,0,0
becomes,0,0,0
complicit.,0,0,1
She's,0,0,0
left,0,0,0
the,0,0,0
room.,0,0,0
He,0,0,0
stays,0,0,0
in,0,0,0
the,0,0,0
"bed,",0,0,1
below,0,0,0
the,0,0,0
"covers,",0,0,0
and,0,0,0
when,0,0,0
she,0,0,0
exits,0,0,0
the,0,0,0
house,0,0,1
—the,0,0,0
door,0,0,0
is,0,0,0
audible—he,0,0,0
curls,0,0,0
"up,",0,0,0
bean,0,0,0
of,0,0,0
sadness,0,0,1
that,0,0,0
he,0,0,0
is.,0,0,0
Her,0,0,0
travel,0,0,0
is,0,0,0
"greedy,",0,0,0
it,0,0,0
needs,0,0,0
the,0,0,0
miles,0,0,0
(by,0,0,0
now,0,0,1
she's,0,0,0
