Index	Trip id	Startdate	Starttime	Startdec	Stopdate	Stoptime	Stopdec	Bikeid	Tripduration	To station id	Usertype
0	20217133	7/1/2016	0:44:00	0.0305556	7/1/2016	1:22:00	0.0569444	70362	2263	1025	Customer
1	20218077	7/1/2016	1:22:00	0.0569444	7/1/2016	1:34:00	0.0652778	70124	708	1012	Customer
2	20220848	7/1/2016	2:31:00	0.1048611	7/1/2016	2:39:00	0.1104167	70135	475	1007	Customer
3	20227674	7/1/2016	5:48:00	0.2416667	7/1/2016	6:10:00	0.2569444	70260	1300	1005	Subscriber
4	20228273	7/1/2016	6:05:00	0.2534722	7/1/2016	6:24:00	0.2666667	70010	1107	1001	Subscriber
5	20228404	7/1/2016	6:09:00	0.2562500	7/1/2016	6:23:00	0.2659722	70037	816	1040	Customer
6	20228890	7/1/2016	6:21:00	0.2645833	7/1/2016	6:57:00	0.2895833	70322	2172	1001	Subscriber
7	20229069	7/1/2016	6:25:00	0.2673611	7/1/2016	7:07:00	0.2965278	70281	2503	1048	Subscriber
8	20229097	7/1/2016	6:26:00	0.2680556	7/1/2016	6:49:00	0.2840278	70049	1420	1019	Customer
9	20229687	7/1/2016	6:41:00	0.2784722	7/1/2016	6:58:00	0.2902778	70206	1014	1002	Subscriber
10	20229690	7/1/2016	6:41:00	0.2784722	7/1/2016	7:42:00	0.3208333	70155	3644	1015	Subscriber
11	20231181	7/1/2016	7:18:00	0.3041667	7/1/2016	7:22:00	0.3069444	70218	273	1028	Subscriber
12	20231185	7/1/2016	7:18:00	0.3041667	7/1/2016	7:22:00	0.3069444	70064	281	1028	Subscriber
13	20231324	7/1/2016	7:20:00	0.3055556	7/1/2016	10:05:00	0.4201389	70307	9883	1012	Customer
14	20231590	7/1/2016	7:25:00	0.3090278	7/1/2016	10:07:00	0.4215278	70212	9678	1012	Customer
15	20231553	7/1/2016	7:25:00	0.3090278	7/1/2016	10:08:00	0.4222222	70494	9800	1012	Customer
16	20231648	7/1/2016	7:26:00	0.3097222	7/1/2016	7:54:00	0.3291667	70055	1648	1010	Customer
17	20231683	7/1/2016	7:27:00	0.3104167	7/1/2016	7:51:00	0.3270833	70153	1437	1001	Subscriber
18	20231712	7/1/2016	7:28:00	0.3111111	7/1/2016	8:46:00	0.3652778	70052	4714	1045	Subscriber
19	20232301	7/1/2016	7:42:00	0.3208333	7/1/2016	7:45:00	0.3229167	70404	200	1006	Subscriber
20	20232563	7/1/2016	7:48:00	0.3250000	7/1/2016	7:55:00	0.3298611	70259	455	1040	Customer
21	20232845	7/1/2016	7:55:00	0.3298611	7/1/2016	8:06:00	0.3375000	70294	671	1049	Subscriber
22	20232889	7/1/2016	7:56:00	0.3305556	7/1/2016	8:06:00	0.3375000	70372	616	1049	Customer
23	20232893	7/1/2016	7:56:00	0.3305556	7/1/2016	10:08:00	0.4222222	70396	7940	1012	Customer
24	20233080	7/1/2016	8:01:00	0.3340278	7/1/2016	8:15:00	0.3437500	70295	875	1040	Subscriber
25	20233371	7/1/2016	8:07:00	0.3381944	7/1/2016	8:16:00	0.3444444	70470	538	1003	Subscriber
26	20233510	7/1/2016	8:09:00	0.3395833	7/1/2016	8:20:00	0.3472222	70269	657	1003	Subscriber
27	20233678	7/1/2016	8:13:00	0.3423611	7/1/2016	8:22:00	0.3486111	70487	576	1013	Subscriber
28	20233891	7/1/2016	8:17:00	0.3451389	7/1/2016	8:35:00	0.3576389	70211	1103	1002	Subscriber
29	20233962	7/1/2016	8:18:00	0.3458333	7/1/2016	8:25:00	0.3506944	70422	393	1031	Customer
30	20233952	7/1/2016	8:18:00	0.3458333	7/1/2016	8:31:00	0.3548611	70492	808	1003	Subscriber
31	20234436	7/1/2016	8:28:00	0.3527778	7/1/2016	8:43:00	0.3631944	70271	942	1044	Subscriber
32	20234445	7/1/2016	8:28:00	0.3527778	7/1/2016	11:05:00	0.4618056	70124	9412	1012	Subscriber
33	20234630	7/1/2016	8:31:00	0.3548611	7/1/2016	8:49:00	0.3673611	70143	1104	1041	Subscriber
34	20235047	7/1/2016	8:39:00	0.3604167	7/1/2016	9:04:00	0.3777778	70356	1519	1017	Customer
35	20235061	7/1/2016	8:39:00	0.3604167	7/1/2016	9:12:00	0.3833333	70477	1943	1012	Customer
36	20235481	7/1/2016	8:48:00	0.3666667	7/1/2016	8:53:00	0.3701389	70234	336	1041	Subscriber
37	20235640	7/1/2016	8:51:00	0.3687500	7/1/2016	8:57:00	0.3729167	70344	387	1028	Subscriber
38	20235820	7/1/2016	8:54:00	0.3708333	7/1/2016	9:23:00	0.3909722	70040	1729	1048	Customer
39	20236069	7/1/2016	8:59:00	0.3743056	7/1/2016	9:10:00	0.3819444	70372	647	1001	Customer
40	20236475	7/1/2016	9:07:00	0.3798611	7/1/2016	11:57:00	0.4979167	70182	10211	1013	Customer
41	20236749	7/1/2016	9:12:00	0.3833333	7/1/2016	9:22:00	0.3902778	70080	656	1034	Subscriber
42	20236790	7/1/2016	9:12:00	0.3833333	7/1/2016	9:36:00	0.4000000	70118	1427	1001	Customer
43	20236891	7/1/2016	9:13:00	0.3840278	7/1/2016	11:58:00	0.4986111	70316	9870	1002	Customer
44	20237241	7/1/2016	9:19:00	0.3881944	7/1/2016	11:58:00	0.4986111	70324	9528	1002	Customer
45	20237257	7/1/2016	9:20:00	0.3888889	7/1/2016	9:31:00	0.3965278	70262	713	1017	Customer
46	20237406	7/1/2016	9:22:00	0.3902778	7/1/2016	9:30:00	0.3958333	70373	443	1041	Subscriber
47	20237467	7/1/2016	9:23:00	0.3909722	7/1/2016	9:32:00	0.3972222	70208	546	1038	Customer
48	20237778	7/1/2016	9:29:00	0.3951389	7/1/2016	9:57:00	0.4145833	70489	1732	1004	Customer
49	20238785	7/1/2016	9:45:00	0.4062500	7/1/2016	10:11:00	0.4243056	70344	1546	1043	Customer
50	20238947	7/1/2016	9:47:00	0.4076389	7/1/2016	9:54:00	0.4125000	70286	412	1033	Customer
51	20239166	7/1/2016	9:50:00	0.4097222	7/1/2016	10:11:00	0.4243056	70264	1265	1045	Customer
52	20239629	7/1/2016	9:58:00	0.4152778	7/1/2016	14:28:00	0.6027778	70060	16199	1001	Customer
53	20239654	7/1/2016	9:59:00	0.4159722	7/1/2016	14:29:00	0.6034722	70384	16191	1001	Customer
54	20240198	7/1/2016	10:06:00	0.4208333	7/1/2016	10:19:00	0.4298611	70346	738	1016	Customer
